Workclass;fnlwgt;Capital Gain;Capital Loss;Hours per week;ID;Target
 Private;346253.0;0.0;0.0;35.0;4525084; <=50K
 Local-gov;268234.0;0.0;0.0;40.0;3731639; >50K
 Private;202051.0;0.0;0.0;50.0;92243; <=50K
 Private;54334.0;0.0;0.0;40.0;6806606; <=50K
 Federal-gov;410867.0;0.0;0.0;50.0;3971249; >50K
 Private;249977.0;0.0;0.0;40.0;5835784; <=50K
 Private;286730.0;0.0;0.0;40.0;5354311; <=50K
 Private;212563.0;0.0;0.0;25.0;2891555; <=50K
 Private;117747.0;0.0;1573.0;35.0;1791056; <=50K
 Local-gov;226296.0;0.0;0.0;40.0;9370686; >50K
 Local-gov;115585.0;0.0;0.0;50.0;1434450; <=50K
 Self-emp-not-inc;191277.0;0.0;1902.0;60.0;3923503; >50K
 Private;202683.0;0.0;0.0;48.0;8927519; >50K
 Private;171095.0;0.0;0.0;40.0;160451; <=50K
 Federal-gov;249409.0;0.0;0.0;40.0;7830964; <=50K
 Private;124191.0;0.0;0.0;40.0;2937553; >50K
 Private;198282.0;15024.0;0.0;60.0;5576163; >50K
 Self-emp-not-inc;149116.0;0.0;0.0;50.0;2750670; <=50K
 Private;188300.0;0.0;0.0;40.0;6953540; <=50K
 Private;103432.0;0.0;0.0;40.0;3702764; <=50K
 Self-emp-inc;317660.0;7688.0;0.0;40.0;8485808; >50K
 ?;304873.0;34095.0;0.0;32.0;9430228; <=50K
 Private;194901.0;0.0;0.0;40.0;2150898; <=50K
 Local-gov;189265.0;0.0;0.0;40.0;8715530; <=50K
 Private;124692.0;0.0;0.0;40.0;6963607; <=50K
 Private;432376.0;0.0;0.0;40.0;7955473; <=50K
 Private;65324.0;0.0;0.0;40.0;9122491; >50K
 Self-emp-not-inc;335605.0;0.0;1887.0;50.0;7795266; >50K
 Private;377869.0;4064.0;0.0;25.0;1101599; <=50K
 Private;102864.0;0.0;0.0;40.0;7918857; <=50K
 Private;95647.0;0.0;0.0;50.0;2784612; <=50K
 Self-emp-inc;303090.0;0.0;0.0;50.0;1079089; <=50K
 Local-gov;197371.0;0.0;0.0;40.0;9088761; >50K
 Private;247552.0;0.0;0.0;56.0;9522712; <=50K
 Private;102632.0;0.0;0.0;41.0;562858; <=50K
 Private;199915.0;0.0;0.0;40.0;11517969; <=50K
 Private;118853.0;0.0;0.0;60.0;2314106; <=50K
 Private;77143.0;0.0;0.0;40.0;7110409; <=50K
 State-gov;267989.0;0.0;0.0;50.0;9038972; >50K
 Private;301606.0;0.0;0.0;35.0;11266984; <=50K
 Private;287828.0;0.0;0.0;40.0;10180188; >50K
 Private;111697.0;0.0;1719.0;28.0;5750270; <=50K
 Private;114937.0;0.0;0.0;40.0;4579467; >50K
 ?;129305.0;0.0;0.0;40.0;5929989; <=50K
 Private;365739.0;0.0;0.0;40.0;640594; <=50K
 Private;69621.0;0.0;0.0;60.0;4178688; <=50K
 Private;43323.0;0.0;1762.0;40.0;4839003; <=50K
 Self-emp-not-inc;120985.0;4386.0;0.0;35.0;6804721; <=50K
 Private;254202.0;0.0;0.0;50.0;171518; <=50K
 Private;146195.0;0.0;0.0;36.0;11221695; <=50K
 Federal-gov;125933.0;0.0;0.0;40.0;1574884; >50K
 Self-emp-not-inc;56920.0;0.0;0.0;60.0;7794901; <=50K
 Private;163127.0;0.0;0.0;35.0;11415454; <=50K
 Private;34310.0;0.0;0.0;20.0;8553017; <=50K
 Private;81973.0;0.0;0.0;40.0;123053; >50K
 Self-emp-inc;66614.0;0.0;0.0;40.0;10514205; <=50K
 Private;232782.0;0.0;0.0;40.0;3017277; <=50K
 Private;316868.0;0.0;0.0;30.0;6112838; <=50K
 Private;196584.0;0.0;1564.0;40.0;1284816; >50K
 Private;105376.0;0.0;0.0;40.0;8226367; <=50K
 Private;185814.0;0.0;0.0;30.0;11166508; <=50K
 Private;175374.0;0.0;0.0;24.0;4058752; <=50K
 Private;108293.0;0.0;0.0;24.0;13120625; <=50K
 Private;181232.0;0.0;2179.0;40.0;432781; <=50K
 ?;174662.0;0.0;0.0;40.0;1693770; <=50K
 Local-gov;186009.0;0.0;0.0;38.0;6301281; <=50K
 Private;198183.0;0.0;0.0;40.0;7294280; <=50K
 Private;163003.0;0.0;0.0;40.0;1699346; <=50K
 Private;296158.0;0.0;0.0;35.0;9252607; <=50K
 ?;252903.0;0.0;0.0;45.0;1609014; >50K
 Private;187715.0;0.0;0.0;46.0;11196802; <=50K
 Private;214542.0;0.0;0.0;40.0;3279752; <=50K
 Self-emp-not-inc;494223.0;0.0;1816.0;2.0;8067651; <=50K
 Private;191535.0;0.0;0.0;60.0;10924337; <=50K
 Private;228456.0;0.0;0.0;50.0;7973591; <=50K
 ?;38317.0;0.0;0.0;20.0;1170366; <=50K
 Private;252752.0;0.0;0.0;40.0;639177; <=50K
 Self-emp-inc;78374.0;0.0;0.0;40.0;1856884; <=50K
 Private;88419.0;0.0;0.0;40.0;11856841; <=50K
 Self-emp-not-inc;201080.0;0.0;0.0;40.0;8759848; >50K
 Private;207157.0;0.0;0.0;40.0;2552007; <=50K
 Federal-gov;235485.0;0.0;0.0;42.0;10279858; <=50K
 State-gov;102628.0;0.0;0.0;40.0;6564834; <=50K
 Private;25828.0;0.0;0.0;16.0;7029168; <=50K
 Local-gov;54826.0;0.0;0.0;20.0;14276243; <=50K
 Private;124953.0;0.0;1980.0;40.0;6599929; <=50K
 State-gov;175325.0;0.0;0.0;40.0;9919673; <=50K
 Private;96062.0;0.0;1977.0;40.0;13429224; >50K
 Private;428030.0;0.0;0.0;50.0;7985528; <=50K
 State-gov;149624.0;0.0;0.0;40.0;17414797; >50K
 Private;253814.0;0.0;0.0;25.0;842774; <=50K
 Private;312956.0;0.0;0.0;40.0;16628110; <=50K
 Private;483777.0;0.0;0.0;40.0;13818312; <=50K
 Private;183930.0;0.0;0.0;12.0;6667868; <=50K
 Private;37274.0;0.0;0.0;65.0;14159230; <=50K
 Local-gov;181344.0;0.0;0.0;38.0;13450096; >50K
 Private;114580.0;0.0;0.0;40.0;7238219; <=50K
 Private;633742.0;0.0;0.0;45.0;16394162; <=50K
 Private;286370.0;0.0;0.0;40.0;1041119; >50K
 Federal-gov;29054.0;0.0;0.0;42.0;7197775; >50K
 Private;304030.0;0.0;0.0;40.0;10688732; <=50K
 Self-emp-not-inc;143129.0;0.0;0.0;40.0;3021844; <=50K
 ?;135105.0;0.0;0.0;50.0;13472019; <=50K
 Private;99928.0;0.0;0.0;50.0;3639019; <=50K
 State-gov;109567.0;0.0;0.0;1.0;1671154; >50K
 Private;155222.0;0.0;0.0;28.0;13036981; <=50K
 Private;159567.0;0.0;0.0;40.0;10957660; <=50K
 Local-gov;523910.0;0.0;0.0;40.0;5406962; <=50K
 Private;120939.0;0.0;0.0;45.0;8547095; <=50K
 Federal-gov;130760.0;0.0;0.0;24.0;12610446; <=50K
 Private;197387.0;0.0;0.0;40.0;3616644; <=50K
 Private;99374.0;0.0;0.0;40.0;7121214; <=50K
 Federal-gov;56795.0;14084.0;0.0;55.0;17462753; >50K
 Private;138992.0;7298.0;0.0;40.0;7952163; >50K
 Self-emp-not-inc;32921.0;0.0;0.0;40.0;19226350; <=50K
 Private;397317.0;0.0;1876.0;40.0;7574717; <=50K
 ?;170653.0;0.0;0.0;40.0;9242702; <=50K
 Private;259323.0;0.0;0.0;50.0;10518346; >50K
 Local-gov;254817.0;0.0;1340.0;40.0;11096412; <=50K
 State-gov;48211.0;0.0;0.0;35.0;10531819; <=50K
 Private;140164.0;0.0;0.0;40.0;10490064; <=50K
 Private;128757.0;7298.0;0.0;36.0;2447819; >50K
 Private;36270.0;0.0;0.0;60.0;13440330; <=50K
 Self-emp-inc;210563.0;15024.0;0.0;35.0;19417234; >50K
 Private;65368.0;0.0;0.0;12.0;17178891; <=50K
 Local-gov;160943.0;0.0;0.0;40.0;4502787; <=50K
 Private;208358.0;0.0;0.0;40.0;17986660; >50K
 Private;153790.0;0.0;0.0;40.0;8901315; <=50K
 Private;85815.0;0.0;0.0;40.0;20064370; <=50K
 Self-emp-inc;125417.0;0.0;0.0;40.0;4765459; >50K
 Private;635913.0;0.0;0.0;60.0;10970135; >50K
 Private;313321.0;0.0;0.0;40.0;18473833; <=50K
 Private;182609.0;0.0;0.0;50.0;15868162; <=50K
 Private;109434.0;0.0;0.0;55.0;6658412; <=50K
 Private;255004.0;0.0;0.0;40.0;1930550; <=50K
 Private;197860.0;0.0;0.0;40.0;7533395; <=50K
 ?;187656.0;0.0;0.0;40.0;16136017; <=50K
 Private;51744.0;0.0;2206.0;40.0;8202401; <=50K
 Private;176681.0;0.0;0.0;20.0;10882774; <=50K
 Local-gov;140359.0;0.0;0.0;35.0;16476295; <=50K
 Private;243313.0;0.0;0.0;40.0;1811644; <=50K
 ?;24215.0;0.0;0.0;10.0;16052762; <=50K
 Self-emp-not-inc;167687.0;1409.0;0.0;50.0;4237148; <=50K
 Private;314209.0;0.0;0.0;20.0;7764009; <=50K
 Private;176796.0;0.0;0.0;40.0;21602793; <=50K
 Private;538583.0;3674.0;0.0;40.0;18278149; <=50K
 Private;130408.0;0.0;0.0;38.0;15705226; <=50K
 Private;159732.0;0.0;0.0;42.0;12962885; <=50K
 Private;110978.0;0.0;0.0;40.0;3869689; <=50K
 Private;76714.0;0.0;0.0;55.0;12736595; >50K
 State-gov;268700.0;0.0;0.0;40.0;39500; <=50K
 State-gov;170525.0;0.0;0.0;38.0;23225417; <=50K
 Private;180138.0;0.0;0.0;50.0;17514301; >50K
 Local-gov;115076.0;0.0;0.0;70.0;18580817; >50K
 Private;115458.0;0.0;0.0;40.0;5850242; <=50K
 Private;347890.0;0.0;0.0;40.0;1704328; >50K
 Self-emp-not-inc;196001.0;0.0;0.0;20.0;23584875; <=50K
 State-gov;273905.0;0.0;0.0;50.0;20832697; <=50K
 ?;119156.0;0.0;0.0;20.0;17388788; <=50K
 Private;179488.0;0.0;1741.0;40.0;16560489; <=50K
 Private;203580.0;0.0;0.0;35.0;12643271; <=50K
 Private;236596.0;0.0;0.0;45.0;4453228; >50K
 Private;183916.0;0.0;0.0;34.0;587786; <=50K
 Private;207578.0;0.0;1977.0;60.0;24177776; >50K
 Private;153141.0;0.0;0.0;40.0;13005775; <=50K
 Private;112763.0;0.0;0.0;40.0;18617768; >50K
 Private;390781.0;0.0;0.0;40.0;15572041; <=50K
 Local-gov;171328.0;0.0;0.0;30.0;16694162; <=50K
 Local-gov;27382.0;0.0;0.0;40.0;23188011; <=50K
 Private;259014.0;0.0;0.0;20.0;3443311; <=50K
 Self-emp-not-inc;303044.0;0.0;0.0;40.0;436031; >50K
 Private;117789.0;0.0;0.0;40.0;1775132; <=50K
 Private;172579.0;0.0;0.0;30.0;8494780; <=50K
 Private;187666.0;0.0;0.0;45.0;16552460; <=50K
 Private;204518.0;0.0;0.0;40.0;24405745; <=50K
 Private;150042.0;0.0;0.0;40.0;12290074; <=50K
 Private;98092.0;0.0;0.0;60.0;15315057; <=50K
 Private;245918.0;0.0;0.0;12.0;24705266; <=50K
 Private;146013.0;4064.0;0.0;40.0;22818882; <=50K
 Private;378322.0;0.0;0.0;40.0;974369; <=50K
 Self-emp-inc;257295.0;0.0;0.0;75.0;8917075; >50K
 ?;218956.0;0.0;0.0;24.0;8204709; <=50K
 Private;21174.0;0.0;0.0;40.0;16861099; >50K
 Private;185480.0;0.0;0.0;45.0;7942432; <=50K
 Private;222205.0;0.0;0.0;40.0;10399916; >50K
 Private;69867.0;0.0;0.0;40.0;25273436; >50K
 Private;191260.0;1055.0;0.0;24.0;23397205; <=50K
 Self-emp-not-inc;30653.0;2407.0;0.0;98.0;4038554; <=50K
 Local-gov;209109.0;0.0;0.0;35.0;21285321; <=50K
 Private;70377.0;0.0;0.0;40.0;22681181; <=50K
 Private;477983.0;0.0;0.0;40.0;340327; <=50K
 Private;170924.0;7298.0;0.0;40.0;9701660; >50K
 Private;190174.0;0.0;0.0;40.0;5011962; <=50K
 Private;193787.0;0.0;0.0;40.0;17725055; <=50K
 Private;279472.0;7298.0;0.0;48.0;680930; >50K
 Private;34918.0;0.0;0.0;15.0;1333617; <=50K
 Local-gov;97688.0;5178.0;0.0;40.0;15577911; >50K
 Private;175413.0;0.0;0.0;45.0;11476124; <=50K
 Private;173960.0;0.0;0.0;42.0;15344451; <=50K
 Private;205759.0;0.0;0.0;40.0;8070599; <=50K
 Federal-gov;425161.0;15024.0;0.0;40.0;753801; >50K
 Private;220531.0;0.0;0.0;60.0;22020845; >50K
 Private;176609.0;0.0;0.0;45.0;6548289; <=50K
 Private;371987.0;0.0;0.0;40.0;22484565; <=50K
 Private;193884.0;0.0;0.0;40.0;18072620; <=50K
 Private;200352.0;0.0;0.0;45.0;13330128; <=50K
 Private;127595.0;0.0;0.0;40.0;10068086; <=50K
 Local-gov;220419.0;0.0;0.0;56.0;27605315; <=50K
 Private;231931.0;0.0;0.0;45.0;28097872; <=50K
 Private;248402.0;0.0;0.0;40.0;422133; <=50K
 Private;111095.0;0.0;0.0;16.0;26041543; <=50K
 Self-emp-inc;57424.0;0.0;0.0;60.0;11633674; <=50K
 ?;157443.0;3464.0;0.0;40.0;2893986; <=50K
 Private;278130.0;0.0;0.0;40.0;2023611; <=50K
 Private;169469.0;0.0;0.0;80.0;27056504; <=50K
 Private;146268.0;7688.0;0.0;40.0;20873955; >50K
 Private;153718.0;0.0;0.0;25.0;6808561; <=50K
 Private;217460.0;0.0;0.0;45.0;24989135; >50K
 Private;238638.0;4386.0;0.0;40.0;6045309; >50K
 Private;303296.0;0.0;0.0;40.0;7508130; <=50K
 Private;173321.0;0.0;0.0;40.0;22462072; <=50K
 Private;193945.0;0.0;0.0;45.0;2672938; <=50K
 Private;83082.0;0.0;0.0;33.0;6987075; <=50K
 Private;193815.0;0.0;0.0;40.0;30313000; >50K
 Self-emp-inc;34987.0;0.0;0.0;54.0;5973666; >50K
 Private;59306.0;0.0;0.0;40.0;3131547; <=50K
 Private;142897.0;7298.0;0.0;35.0;16861894; >50K
 ?;860348.0;0.0;0.0;25.0;30756949; <=50K
 Self-emp-not-inc;205607.0;0.0;0.0;40.0;19825081; >50K
 Private;199698.0;0.0;0.0;15.0;27173596; <=50K
 Private;191954.0;0.0;0.0;40.0;10668032; <=50K
 Self-emp-not-inc;138714.0;0.0;0.0;40.0;25594917; <=50K
 Private;399087.0;0.0;0.0;40.0;15821028; <=50K
 Private;423158.0;0.0;0.0;40.0;10297760; <=50K
 Private;159841.0;0.0;0.0;24.0;9166885; <=50K
 Self-emp-not-inc;174308.0;0.0;0.0;40.0;20341625; <=50K
 Private;50356.0;0.0;1485.0;50.0;31196465; <=50K
 Private;186110.0;0.0;0.0;45.0;31726353; <=50K
 Private;200381.0;0.0;0.0;40.0;5055758; <=50K
 Self-emp-not-inc;174309.0;0.0;0.0;10.0;17278667; <=50K
 Self-emp-not-inc;78383.0;0.0;0.0;45.0;16917862; <=50K
 ?;211601.0;0.0;0.0;15.0;5368317; <=50K
 Private;187728.0;0.0;1887.0;50.0;2588891; >50K
 Self-emp-not-inc;321171.0;0.0;0.0;40.0;15620583; <=50K
 Private;127921.0;2050.0;0.0;55.0;705180; <=50K
 Private;206565.0;0.0;0.0;45.0;5530181; <=50K
 Private;224563.0;0.0;0.0;40.0;10409235; <=50K
 Private;178686.0;0.0;0.0;40.0;26528742; <=50K
 Local-gov;98545.0;0.0;0.0;40.0;29567662; <=50K
 Private;242606.0;0.0;0.0;40.0;3285531; <=50K
 Private;270942.0;0.0;0.0;48.0;3069007; <=50K
 Private;94235.0;0.0;0.0;40.0;31562326; <=50K
 Private;71195.0;0.0;0.0;60.0;20222371; <=50K
 Private;104112.0;0.0;0.0;30.0;24036971; <=50K
 Private;261192.0;0.0;0.0;40.0;28580038; <=50K
 Private;94936.0;0.0;0.0;40.0;29716694; <=50K
 Private;296478.0;7298.0;0.0;40.0;2268544; >50K
 State-gov;119272.0;7298.0;0.0;40.0;28208959; >50K
 Private;85043.0;0.0;0.0;20.0;2965368; <=50K
 State-gov;293364.0;0.0;0.0;40.0;5043080; <=50K
 Self-emp-not-inc;241895.0;0.0;0.0;42.0;13059632; <=50K
 ?;36135.0;0.0;0.0;8.0;15169328; <=50K
 ?;151989.0;0.0;0.0;40.0;12630913; <=50K
 Private;101128.0;0.0;0.0;25.0;13484846; <=50K
 Private;156464.0;0.0;0.0;25.0;26798085; <=50K
 Private;117963.0;0.0;0.0;40.0;16687316; >50K
 Private;192262.0;0.0;0.0;40.0;21373629; <=50K
 Private;111363.0;0.0;0.0;40.0;30027914; >50K
 Local-gov;329752.0;0.0;0.0;30.0;33316420; <=50K
 ?;372020.0;0.0;0.0;40.0;1005609; >50K
 Federal-gov;95432.0;0.0;0.0;40.0;28661174; >50K
 Private;161400.0;0.0;0.0;40.0;7912916; <=50K
 Private;96129.0;0.0;0.0;40.0;32169882; >50K
 Private;111949.0;0.0;0.0;35.0;16031392; <=50K
 Self-emp-not-inc;117125.0;0.0;0.0;40.0;11685109; <=50K
 Private;348022.0;0.0;0.0;24.0;2537228; <=50K
 Private;270092.0;0.0;0.0;40.0;14393919; >50K
 Private;180609.0;0.0;0.0;45.0;5391370; <=50K
 Private;174575.0;0.0;1564.0;45.0;32030100; >50K
 Private;410439.0;0.0;0.0;55.0;28867880; <=50K
 Private;92262.0;0.0;0.0;40.0;4875445; <=50K
 Self-emp-not-inc;183081.0;0.0;0.0;45.0;25596779; <=50K
 Private;362589.0;0.0;0.0;15.0;15688129; <=50K
 Private;212448.0;0.0;0.0;45.0;815939; >50K
 Private;481060.0;0.0;0.0;40.0;31346629; <=50K
 Federal-gov;185885.0;0.0;0.0;15.0;33255799; <=50K
 Private;89821.0;0.0;0.0;10.0;18464123; <=50K
 State-gov;184018.0;0.0;0.0;38.0;9375255; >50K
 Private;256649.0;0.0;0.0;40.0;15784079; <=50K
 Private;160323.0;0.0;0.0;40.0;8680259; <=50K
 Local-gov;350845.0;0.0;0.0;10.0;35216977; <=50K
 Private;267404.0;0.0;0.0;40.0;31187818; <=50K
 Private;35633.0;0.0;0.0;40.0;19748939; <=50K
 Self-emp-not-inc;80914.0;0.0;0.0;30.0;33121617; <=50K
 Private;172927.0;0.0;0.0;50.0;6088063; <=50K
 Private;174319.0;0.0;0.0;40.0;4316152; <=50K
 Private;214955.0;0.0;2339.0;45.0;10586011; <=50K
 Private;344991.0;0.0;0.0;40.0;25883249; <=50K
 Private;108699.0;0.0;0.0;40.0;36260436; <=50K
 Local-gov;117312.0;0.0;0.0;40.0;13970370; <=50K
 Private;396099.0;0.0;0.0;25.0;15272568; <=50K
 Private;134152.0;0.0;0.0;40.0;13205195; <=50K
 Private;162028.0;0.0;2415.0;6.0;36022031; >50K
 Private;25429.0;0.0;0.0;16.0;3714255; <=50K
 Private;232392.0;0.0;0.0;40.0;22791904; <=50K
 Private;220098.0;0.0;0.0;40.0;5600019; >50K
 Private;301302.0;0.0;0.0;50.0;17317008; <=50K
 Self-emp-not-inc;277946.0;0.0;0.0;40.0;4872879; <=50K
 State-gov;98101.0;7688.0;0.0;45.0;36796733; >50K
 Private;196164.0;0.0;0.0;35.0;36585134; <=50K
 Private;115562.0;0.0;0.0;40.0;35541940; <=50K
 Private;96975.0;0.0;0.0;40.0;15327917; <=50K
 ?;137300.0;0.0;0.0;35.0;31730891; <=50K
 Private;86872.0;0.0;0.0;55.0;13407892; >50K
 Self-emp-inc;132178.0;0.0;0.0;50.0;714833; >50K
 Private;416103.0;0.0;0.0;40.0;39560724; <=50K
 Private;108574.0;0.0;0.0;40.0;13013070; <=50K
 State-gov;288353.0;0.0;0.0;40.0;13158740; >50K
 Private;227689.0;0.0;0.0;64.0;21298221; <=50K
 Private;166481.0;0.0;2179.0;40.0;33126243; <=50K
 Private;445382.0;0.0;1977.0;65.0;2657074; >50K
 Private;110145.0;0.0;0.0;40.0;13775162; <=50K
 Self-emp-not-inc;317253.0;0.0;0.0;25.0;33815253; <=50K
 ?;123147.0;0.0;1887.0;40.0;11860527; >50K
 Private;364657.0;0.0;0.0;50.0;30645207; <=50K
 Local-gov;42346.0;0.0;0.0;24.0;13448955; <=50K
 Private;241951.0;0.0;0.0;40.0;21528558; <=50K
 Private;118500.0;0.0;0.0;40.0;35014463; <=50K
 Private;188386.0;15024.0;0.0;60.0;15070773; >50K
 State-gov;1033222.0;0.0;0.0;40.0;10279361; <=50K
 Private;92440.0;0.0;0.0;50.0;23392962; >50K
 Private;190762.0;0.0;0.0;40.0;6245194; <=50K
 Private;426017.0;0.0;0.0;19.0;38557384; <=50K
 Local-gov;243867.0;0.0;0.0;40.0;1612478; <=50K
 State-gov;240283.0;0.0;0.0;40.0;451034; <=50K
 Private;61777.0;0.0;0.0;30.0;22914163; <=50K
 Private;175024.0;2176.0;0.0;18.0;4401541; <=50K
 State-gov;92003.0;0.0;0.0;40.0;3271029; >50K
 Private;188401.0;0.0;0.0;40.0;36725742; <=50K
 Private;228528.0;0.0;0.0;35.0;28894213; <=50K
 Private;133373.0;0.0;0.0;60.0;22903909; <=50K
 Federal-gov;255191.0;0.0;1408.0;40.0;38337668; <=50K
 Private;204653.0;0.0;0.0;72.0;28324706; <=50K
 Self-emp-inc;222289.0;0.0;0.0;40.0;15217402; >50K
 Local-gov;287480.0;0.0;0.0;40.0;26068546; <=50K
 ?;107762.0;0.0;0.0;24.0;3282215; <=50K
 ?;202521.0;0.0;0.0;40.0;33095718; <=50K
 Self-emp-not-inc;204116.0;2174.0;0.0;40.0;4088853; <=50K
 Private;29662.0;0.0;0.0;25.0;2774799; >50K
 Private;116358.0;0.0;1980.0;40.0;28411751; <=50K
 Private;208405.0;0.0;0.0;50.0;40495445; >50K
 Local-gov;284843.0;594.0;0.0;60.0;34715525; <=50K
 Local-gov;117018.0;0.0;0.0;40.0;43320258; <=50K
 Private;81281.0;0.0;0.0;40.0;26486918; <=50K
 Local-gov;340148.0;0.0;0.0;40.0;41384560; <=50K
 Private;363425.0;0.0;0.0;40.0;18104133; <=50K
 Private;45857.0;0.0;0.0;28.0;23824545; <=50K
 Federal-gov;191073.0;0.0;0.0;40.0;36663553; <=50K
 Private;116632.0;0.0;0.0;40.0;4177878; >50K
 Private;405855.0;0.0;0.0;40.0;35765624; <=50K
 Private;298227.0;0.0;0.0;35.0;36257172; <=50K
 Private;290521.0;0.0;0.0;40.0;9471595; <=50K
 Private;56915.0;0.0;0.0;40.0;29732996; <=50K
 Private;146538.0;0.0;0.0;40.0;22145665; <=50K
